serial_scrambled	BSA21_final_wt	DVSex21	Ragecat	HHincomex	RClassGP	hedqual2x	MarStat6x	HhlChlGpdx	PMSx	HomoSexx	Partyfwx	Politicsx	Votedx	Spend1x	dolex	TAXSPENDx	EQOPPGAYx	EQOPPTx	CHOPWOMMx	EQOPPBLKx	TBirCertx	EqOpDisx	EqOpMhx	welfare2	leftrigh	libauth	NHSSatx	GPSatx	NHSFProbx	NHSAccx
1016712	.798089064126212	2	7	2	5	3	1	2	5	3	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	4	3.5	2.2	4.66666666666667	-1	-1	-1	-1
1044631	.479213206706782	2	2	4	1	1	1	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.375	2.6	1.83333333333333	-1	-1	-1	-1
1044632	.287397235178383	1	2	4	1	1	1	2	5	5	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.375	2.6	2.5	-1	-1	-1	-1
1019771	.765556800160609	1	7	2	1	1	4	2	5	5	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.25	3.2	3.66666666666667	-1	-1	-1	-1
1004411	.22062895973541	1	2	2	1	1	4	2	4	4	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1	1.4	1.83333333333333	-1	-1	-1	-1
1016101	1.2793943013151	1	7	1	1	2	2	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.875	3.2	3.66666666666667	-1	-1	-1	-1
1029791	.655783629990083	1	2	4	1	1	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1.5	1.4	1.66666666666667	-1	-1	-1	-1
1030701	.781651291752073	2	3	3	5	2	1	1	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.375	2	3.16666666666667	-1	-1	-1	-1
1030702	.442616412810211	1	3	3	2	1	1	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.25	1.8	3.33333333333333	-1	-1	-1	-1
1036581	.616881976274151	2	7	1	3	3	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2	2.2	4.16666666666667	-1	-1	-1	-1
1036582	.792282016252759	1	7	1	1	3	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	1.75	1.8	4.16666666666667	-1	-1	-1	-1
1009901	1.96147054476509	1	2	3	1	2	1	2	5	5	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.5	2.4	3.33333333333333	-1	-1	-1	-1
1006751	.409775736225802	2	4	2	1	1	4	2	5	5	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	5	2.375	2.2	2.83333333333333	-1	-1	-1	-1
1021781	1.27773914667	2	5	9	4	4	1	2	3	4	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	4.375	1.8	3.83333333333333	-1	-1	-1	-1
1021782	.926043533564487	1	7	1	5	4	4	2	5	5	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3.875	1.6	4.5	-1	-1	-1	-1
1017821	1.36362201600862	2	7	3	4	2	1	2	4	3	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	3.125	1.8	3.5	-1	-1	-1	-1
1004581	.34493676822104	1	6	3	1	1	1	2	4	4	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.25	3.4	2.66666666666667	-1	-1	-1	-1
1035281	1.05687096165542	2	7	2	1	4	1	2	5	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	4	3.125	3.4	3.5	-1	-1	-1	-1
1035282	1.34658059411156	1	7	1	1	4	1	2	5	3	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	9	3.375	2.6	3.83333333333333	-1	-1	-1	-1
1001661	.879493496172458	1	3	3	1	1	1	1	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	2.2	3.5	-1	-1	-1	-1
1001662	1.11759082734338	2	4	9	1	1	1	1	4	4	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	2	3.66666666666667	-1	-1	-1	-1
1008321	.519921773186984	1	4	9	1	2	4	2	5	1	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4.5	2.6	3	-1	-1	-1	-1
1008322	.839170764472368	9	1	1	1	2	4	2	3	1	5	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	3	3.16666666666667	-1	-1	-1	-1
1014031	.497050928441526	1	7	1	5	3	2	2	5	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.75	2.8	5	-1	-1	-1	-1
1032241	1.28127059430671	2	6	3	4	3	1	1	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3	2.2	3.33333333333333	-1	-1	-1	-1
1037101	.94811861262286	2	6	2	1	4	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	8	3.375	2.8	4	-1	-1	-1	-1
1037102	.809235422001704	2	6	2	4	2	1	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	8	3.25	2.8	3.66666666666667	-1	-1	-1	-1
